pno1,pno2,rank1,rank2
7188911,4912615,4,4
7188911,4912615,3,12
8571623,8730141,9,4
7325708,4379889,3,5
7497187,6368899,5,12
6916707,7107605,7,13
7249233,7886808,12,13
7882816,4044532,13,13
7197709,7523398,4,11
7946495,7005192,11,13
7575226,5603609,6,6
7575226,5603609,10,9
7575226,5603609,11,11
7973603,6443017,10,13
7005933,4999767,12,5
7005933,4999767,8,9
7005933,4999767,10,10
4091422,7136592,3,4
4091422,7136592,12,6
5072420,8522835,3,9
4484795,7362785,5,7
4484795,7362785,8,12
8063500,4720724,10,7
4890784,7826153,4,13
8687352,7262851,10,6
8687352,7262851,5,7
8385320,7663341,2,7
4792195,5077844,6,5
4678384,5428616,11,11
4769983,7028547,13,4
7362274,4206506,5,6
4804580,5524508,6,13
4093671,5084367,11,10
7894101,8486738,3,7
7592683,8710629,1,5
7484759,8559932,8,4
4572924,4897043,10,4
7340899,6825772,11,6
8436046,5189163,9,10
6331051,7980861,5,4
7017365,5392293,9,12
8722677,4366328,7,2
8722677,4366328,12,11
5217436,8717841,12,12
7134994,7221792,6,9
4428203,4606296,6,3
7997766,8430329,11,13
8497817,7880150,2,11
7487197,7543045,4,9
7754934,4142738,10,8
4432049,5065433,7,1
7971966,6121540,4,6
6409729,6261001,6,5
5589434,6147803,6,8
6463918,8112828,4,5
8649838,8691415,13,12
4350484,8103362,6,2
6615262,8407297,4,9
4077615,5134983,7,5
6655349,5168566,7,12
4235069,6418094,8,7
5309088,8633624,1,5
7034349,7664090,6,6
6809696,7746541,12,12
6568303,6930021,10,7
6568303,6930021,12,13
4442180,3943916,7,10
5149215,4965513,8,1
4328338,4315866,7,10
4328338,4315866,8,13
4702055,8657258,2,7
6978461,7383307,5,13
7660378,7312656,1,9
7904700,5126252,1,6
6248278,5249973,2,4
4309766,7346268,3,5
8650804,7012379,7,9
7056929,8673950,9,5
5585794,7101287,6,5
5585794,7101287,11,6
7089042,6901326,13,7
7556425,4346813,2,3
8659795,4628367,1,3
8659795,4628367,4,4
8659795,4628367,6,8
6444351,5306932,1,8
4672565,7474437,4,8
7523948,4759245,5,11
6451226,7201164,11,6
7328123,6082701,4,11
5652223,7341851,6,1
5652223,7341851,7,11
8584780,7031632,11,12
4556056,4813609,9,1
7183895,6367570,6,12
7653995,3950576,3,2
7681452,7131977,5,10
6191921,7960756,10,4
8688425,8203318,11,11
6067225,7690827,6,5
6067225,7690827,13,10
8111099,6453372,10,9
7884453,5431908,8,2
7894265,5095223,9,4
6195184,6125242,3,3
8277208,6837061,7,12
7788375,5449042,12,6
6069009,8093764,4,3
8518484,7132369,4,8
5296792,4466608,7,13
