parent_pno,child_pno,parent_term_rank,child_term_rank,slope CTR-CTR
4264378,5520750,3,4,-1
4264378,5520750,5,6,-1
4264378,5520750,8,12,-4
4264378,5520750,13,11,2
6557126,7215616,1,8,-7
5647537,7070125,8,6,2
6082813,6494530,1,3,-2
6082813,6494530,2,4,-2
6082813,6494530,4,10,-6
6082813,6494530,5,7,-2
6082813,6494530,12,1,11
6063114,8657852,1,11,-10
6063114,8657852,7,12,-5
4663932,6179250,10,9,1
4519828,4640261,2,6,-4
4519828,4640261,4,3,1
4222758,8616110,10,11,-1
4222758,8616110,11,13,-2
7099106,7436616,3,3,0
7099106,7436616,9,1,8
6646293,7491587,2,4,-2
6646293,7491587,10,9,1
6080159,6355043,1,4,-3
6080159,6355043,2,1,1
6096497,6952604,2,2,0
6505579,8733330,2,3,-1
6505579,8733330,10,5,5
6505579,8733330,11,9,2
6505579,8733330,12,13,-1
6094674,7065360,4,1,3
6094674,7065360,6,4,2
5066248,8469740,1,6,-5
5066248,8469740,6,13,-7
6149980,6849194,3,3,0
7335663,7727996,2,2,0
7335663,7727996,3,1,2
7335663,7727996,4,3,1
7335663,7727996,5,4,1
7335663,7727996,6,5,1
7335663,7727996,7,6,1
7335663,7727996,8,7,1
7335663,7727996,9,8,1
7335663,7727996,10,9,1
7335663,7727996,11,10,1
7335663,7727996,12,11,1
7335663,7727996,13,12,1
6902264,8205980,1,1,0
6902264,8205980,2,2,0
6902264,8205980,5,3,2
6089857,8490627,2,8,-6
6089857,8490627,3,3,0
6089857,8490627,9,4,5
6606006,8289093,2,4,-2
6606006,8289093,5,2,3
6606006,8289093,6,3,3
3986012,4044846,1,1,0
3986012,4044846,3,5,-2
3986012,4044846,5,7,-2
7117036,8498712,1,10,-9
7117036,8498712,2,9,-7
7117036,8498712,9,8,1
4412217,4949085,2,7,-5
4412217,4949085,8,4,4
4404908,6883427,1,2,-1
4404908,6883427,2,1,1
4404908,6883427,3,7,-4
4404908,6883427,13,4,9
6361067,6568708,4,4,0
6361067,6568708,5,1,4
6361067,6568708,6,12,-6
7149337,7522764,7,1,6
4112624,5111622,2,1,1
4112624,5111622,6,8,-2
4280016,8278556,7,3,4
3985244,8376682,2,2,0
5069569,7966915,5,3,2
5069569,7966915,8,1,7
5069569,7966915,9,10,-1
6166900,7500254,4,3,1
4559786,6519950,5,2,3
6463068,8682162,1,2,-1
7184538,8130933,5,5,0
4891694,5303229,9,3,6
4891694,5303229,11,5,6
5219332,8025629,7,3,4
5193256,5351375,1,2,-1
5193256,5351375,3,4,-1
5193256,5351375,5,12,-7
5193256,5351375,7,9,-2
5193256,5351375,8,11,-3
5550984,6453419,10,2,8
4343456,8070128,1,3,-2
6997908,8636717,7,3,4
6209650,8281864,2,1,1
6209650,8281864,4,9,-5
6209650,8281864,10,6,4
6898467,8649907,1,3,-2
6898467,8649907,2,9,-7
6898467,8649907,5,7,-2
5272639,6493631,4,10,-6
5272639,6493631,5,4,1
