pno1,pno2,rank1,rank2
6635057,4094320,6,10
7464386,6892226,1,8
7464386,6892226,12,13
7753289,5067518,1,2
7753289,5067518,11,5
5103550,4399021,13,6
5332081,4157761,7,5
5332081,4157761,12,7
7340117,4943132,1,1
7340117,4943132,3,5
7340117,4943132,9,6
7340117,4943132,5,13
5290348,5114478,1,1
5290348,5114478,10,6
8679327,7776217,1,1
8679327,7776217,9,9
5598490,5119449,7,2
7797028,5266179,3,3
7389268,7181424,3,2
7389268,7181424,1,5
7389268,7181424,4,6
7281641,5184748,3,1
7281641,5184748,9,6
7281641,5184748,5,8
7000305,4600446,2,8
4712113,4568950,10,1
4712113,4568950,6,3
8744599,4777955,2,7
5281359,4066705,2,3
5281359,4066705,1,4
5281359,4066705,5,7
5281359,4066705,7,9
5281359,4066705,9,10
8192304,7261646,10,1
8192304,7261646,1,2
8192304,7261646,4,5
8192304,7261646,3,9
8494352,7777968,13,11
8494352,7777968,6,12
8419834,4006000,2,2
8419834,4006000,4,3
8419834,4006000,1,5
5250010,4299587,1,1
5250010,4299587,9,2
5250010,4299587,12,6
5250010,4299587,11,7
6908194,6062690,3,1
6908194,6062690,9,5
7511700,6172620,1,1
8336547,6390090,11,3
6975055,6577022,1,1
6975055,6577022,3,2
6975055,6577022,5,3
6975055,6577022,7,5
6975055,6577022,4,9
8601776,4674651,1,2
8753030,7674063,11,7
8753030,7674063,9,8
4451496,4198442,13,4
4451496,4198442,11,10
7181653,6157944,1,1
7181653,6157944,4,8
5528240,5121065,3,6
5528240,5121065,9,13
7396259,4076362,2,1
7396259,4076362,7,4
6543995,5380152,2,1
7756026,7046680,3,3
7756026,7046680,4,11
7847412,6037665,11,8
4674688,4494570,1,1
7999708,7126511,10,2
7999708,7126511,13,5
7999708,7126511,7,8
7026329,4769372,1,4
7026329,4769372,10,11
